word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
A lunar module,,tàu thám hiểm vũ trụ Mặt trăng,"a small craft used for travelling between the moon and the larger
space craft orbiting the moon.","When the first men walked on the moon they came out of the
lunar module. The first man to walk on the moon said ""One small step for
a man, one giant leap for mankind.""","Khi những người đầu tiên đặt chân lên mặt trăng, họ bước ra từ tàu
thám hiểm vũ trụ Mặt trăng. Người đầu tiên bước xuống đã nói “Một bước
chân nhỏ bé của một người, một bước tiến vĩ đại của loài người”",phrase,IELTS
To put into orbit,,đặt vào quỹ đạo,"To send something into space, following a curved path of a
planet or an object as it moves around a star, a moon or a planet",A new satellite has been put into orbit around the earth.,Một vệ tinh mới đã được đặt vào quỹ đạo quanh Trái Đất.,phrase,IELTS
Manned space flight,,chuyến bay vào không gian có người lái,a voyage into space which has a person to control it,"As manned space flights are so dangerous, many checks must
be carried out first.","Vì những chuyến bay vào không gian do người lái rất nguy hiểm
nên nhiều cuộc kiểm tra phải được tiến hành trước.",phrase,IELTS
To launch a space rocket,,phóng tên lửa không gian,to send a rocket into space,"Nowadays, men launch space rockets – not ships – to discover
new worlds.","Ngày này, con người phóng tên lửa vào không gian thay vì các du
thuyền để khám phá những thế giới mới.",phrase,IELTS
The cosmos,,vũ trụ,"the universe, especially when it is thought of as an ordered
system","Although the challenge of exploring and understanding
thecosmos is exciting, it is also very expensive","Dù những thách thứ để khám phá vũ trụ tạo nhiều hứng thú, nhưng
nó cũng rất đắt đỏ.",phrase,IELTS
To pour money into space research,,đổ tiền vào nghiên cứu vũ trụ,to spend enormous amounts of money on space research,"Some people argue that it is wasteful to pour money into space
research.",Một số người cho rằng đổ tiền vào nghiên cứu vũ trụ là lãng phí.,phrase,IELTS
A test flight,,chuyến bay thử nghiệm,"a flight during which a space craft or part of its equipment is
tested",Test flights add to the huge costs of space exploration.,"Những chuyến bay thử nghiệm gây tốn kém thêm rất nhiều trong
công cuộc khám phá vũ trụ.",phrase,IELTS
A space shuttle,,tàu con thoi,"a spacecraft designed to be used, for example, to travel between
the earth and a space station","The first space shuttle was front-page news, but now people are
no longer excited by the concept.","Tàu con thoi đầu tiên đã từng là tin tức nóng hổi nhất trên trang
nhất các báo, nhưng giờ mọi người không còn quan tâm vấn đề này nữa.",phrase,IELTS
A space station,,"trạm không gian, trạm vũ trụ","a large structure that is sent into space and remains above the
earth as a base for people working and travelling in space","Even maintaining an international space station is so expensive
that the costs must be shared by several countries.","Duy trì một trạm vũ trụ quốc tế tốn kém đến mức chi phí đó cần
được chia sẻ bởi nhiều quốc gia.",phrase,IELTS
Space vogages,,chuyến du hành vào vũ trụ,journeys into space,Public interest in the early space voyages was unprecedented.,"Sự quan tâm của công chúng về những chuyến du hành vào vũ trụ
là chưa từng có trong tiền lệ.",phrase,IELTS
Space tourism,,du lịch vũ trụ,travelling to space as a form of vacation/holiday,"Billionaires are the only people who are likely to experience
space tourism in the foreseeable future.","Tỉ phú là những người duy nhất chắc chắn sẽ trải nghiệm du lịch vũ
trụ trong tương lai gần.",phrase,IELTS
To discover the mysteries of the universe,,khám phá những bí ấn vũ trụ,to find out more about space,"Space exploration is an essential element in our attempt to
discover the mysteries of the universe.","Thám hiểm không gian là một phần quan trọng trong nỗ lực của
chúng ta nhằm khám phá những bí ẩn của vũ trụ.",phrase,IELTS
Space missions,,Nhiệm vụ không gian/ chuyến bay vào không gian,flights into space,"Recent space missions have begun to explore Mars and more
distant parts of the universe.","Những chuyến bay vào không gian đã bắt đầu để thám hiểm sao
Hỏa và những phần xa hơn của vũ trụ.",phrase,IELTS
The conquest of space,,Chinh phục không gian,"the act of gaining control over the difficult task of exploring
space","The conquest of space is a challenge that continues to inspire
the public imagination.","Chinh phục không gian là một thử thách vẫn luôn tạo cảm hứng cho
sự tưởng tượng của công chúng.",phrase,IELTS
To be an inspiration to,,là nguồn cảm hứng cho,"to make somebody excited about something, especially thinking
of the future","The images of the first men on the moon were an inspiration to
people, and made them more hopeful about the future.","Hình ảnh những người đầu tiên đặt chân lên măt trăng là nguồn
cảm hứng cho con người, khiến họ hy vọng nhiều hơn về tương lai.",phrase,IELTS
Spacesuits and helmets,,bộ đồ không gian và mũ du hành vũ trụ,the clothing worn by astronauts.,"Astronauts must find it difficult to carry out maintenance tasks
during space flights wearing uncomfortable spacesuits and helmets.","Các phi hành gia sẽ gặp khó khăn khi thực hiện các nhiệm vụ bảo trì
trong các chuyến du hành vũ trị khi mặc những bộ đồ không gian và mũ
du hành vũ trụ không thoải mái.",phrase,IELTS
Vacuum-packed food,,thực phẩm đóng gói chân không,"a space that is completely empty of all substances, including all
air or other gas","During manned space flights, astronauts have to live off
vacuum-packed food.","Trong những chuyến du hành có người lái, các phi hành gia phải
sống nhờ những thực phẩm đóng gói chân không.",phrase,IELTS
Weightless conditions,,trạng thái không trọng lượng,,"Astronauts work in weightless conditions, which must make
even routine tasks very difficult.","Các phi hành gia làm việc trong trạng thái không trọng lượng nên
việc thực hiện các nhiệm vụ thông thường trở nên rất khó khăn.",phrase,IELTS
To endure hardships and discomforts,,chịu đựng gian khổ,to experience and deal with conditions that are unpleasant,"I doubt that space tourism will have mass appeal in the future.
Travellers would have to endure hardships and discomforts such as
weightless conditions, vacuum-packed food and wearing spacesuits and
helmets.","Tôi nghi ngờ việc du lịch vũ trụ sẽ thu hút số đông người dân (đại
chúng) trong tương lai. Những người đi du lịch sẽ phải trải qua những
điều kiện gian khổ như không trọng lượng, thức ăn đóng gói chân không
và mặc bộ đồ không gian.",phrase,IELTS
To float through space,,trôi nổi trong không gian,to move slowly in the air,"Space tourism would be really boring, simply floating through
space and looking out of the window of the spacecraft.","Du lịch vũ trụ sẽ rất nhàm chán, chỉ là trôi nổi trong không gian và
nhìn ra ngoài cửa sổ của tàu du hành vũ trụ.",phrase,IELTS
Zero gravity,,vô trọng lực,"having no force to pull objects to the ground, so that they float.","Living in conditions of zero gravity in space must be extremely
tiring and uncomfortable.","Sống trong trạng thái vô trọng lực chắc hẳn rất mệt mỏi và không
hề thoải mái.",phrase,IELTS
Satellite technology,,công nghệ vệ tinh,"the technology of sending electronic devices into space for
communications purposes","Satellite technology has resulted in huge advances in
communications and information-gathering.","Công nghệ vệ tinh đã mang lại lợi ích to lớn cho việc thu thập
thông tin và ngành viễn thông.",phrase,IELTS
A spin-off,,"sản phẩm phụ, lợi ích sinh ra","a useful result of an activity that was designed to produce
something different
Explanation: Space programs have produced spin-offs that have
revolutionized
modern
life,
such
as
satellite
television
and
communications.",,"Các chương trình không gian đã sinh ra những sản phẩm phụ khiến
cách mạng hóa cuộc sống hiện đại như ti vi vệ tinh và viễn thông.",phrase,IELTS
To make space travel commercially viable,,"khiến du hành vũ trụ có thể
phát triển theo hướng thương mại",to make space travel a success financially,"Holidays in space are just fantasy. It is doubtful if it will ever be
possible to make space travel commercially viable.","Những kì nghỉ trong không gian chỉ là trong tưởng tượng. Việc du
lịch vũ trụ có thể phát triển theo hướng thương mạ hay không vẫn còn
gây tranh cãi.",phrase,IELTS
The quest for a new homeland,,cuộc tìm kiếm vùng đất định cư mới,the search for a new place to inhabit,"As humans are destroying their own planet, the quest for a
new homeland in the universe is essential.","Vì con người đang phá hủy hành tinh của chính họ nên cần phải tìm
ra vùng đất trong vũ trụ để sinh tồn.",phrase,IELTS
Alien life forms,,dạng sinh vật ngoài hành tinh,creatures from another world,"One of the most exciting possibilities of the space program is
finding alien life forms on other planets.","Một trong những lợi ích gây hứng thú nhất của những chương trình
không gian là tìm ra sinh vật ngoài hành tinh.",phrase,IELTS
Extraterrestrial life,,"sự sống ngoài trái đất , ngoài khí quyển",life that may exist on another planet,"The quest for extraterrestrial life will prove that humans are not
alone in the universe.","Cuộc tìm kiếm sự sống ngoài trái đất sẽ chứng minh rằng con người
không đơn độc trong vũ trụ",phrase,IELTS
In the realm of science fiction,,trong lĩnh vực khoa học viễn tưởng,"only possible in science fiction stories, only fantasy","Most of the arguments in favour of space programs are in the
realm of science fiction.","Đa số những lý lẽ bênh vực các chương trình không gian chỉ là khoa
học viễn tưởng.",phrase,IELTS
to take up sport/to take up exercise,,tập chơi thể thao/tập thể dục,"to start doing a sport, to start doing exercise","Governments should provide sports facilities to encourage more
people to take up sport.","Chính phủ nên xây dựng các trung tâm thể thao để khuyến khích nhiều
người tập thể thao hơn",phrase,IELTS
to get into shape,,trở nên thon thả,to become fit,"If people have a sedentary lifestyle, they must do regular exercise to
get into shape.","Nếu con người có phong cách sống ngồi nhiều, họ phải thường xuyên
tập thể dục để được thon thả",phrase,IELTS
to keep fit,,giữ dáng,to stay in good physical condition,"A healthy diet and plenty of exercise are essential for people to
keep fit.","Một chế độ ăn uống khỏe mạnh và tập luyện là cần thiết đối với người
muốn giữ dáng.",phrase,IELTS
to exert oneself,,cố gắng hết mình,to make a big physical effort to do something,"I believe that sports professionals deserve high salaries, because
constant hard training is necessary so that they can exert themselves to the
limit when they compete.","Tôi tin rằng các vận động viên thể thao xứng đáng có được một mức
lương cao bởi thường xuyên luyện tập nặng nhọc là cần thiết để họ có thể cố
gắng hết giới hạn của mình trong khi thi đấu.",phrase,IELTS
to work out at the gym,,tập thể dục trong phòng tập,to train the body by physical exercise at the gym,"As part of a healthy lifestyle, people of all ages should work out at
the gym on a regular basis.","Là một phần của phong cách sống khỏe mạnh, con người ở mọi lứa tuổi
nên tập thể dục ở phòng tập thường xuyên",phrase,IELTS
to be out of condition,,yếu ớt,to be physically unfit,"One of the causes of obesity is that many people are out of
condition and fail to exercise regularly.","Một trong những nguyên nhân của bệnh béo phì là do rất nhiều người
yếu ớt và không chịu tập thể dục thường xuyên",phrase,IELTS
to be in the peak of condition,,thể trạng khỏe mạnh nhất,to be in the best possible physical condition,"Sports professionals should receive high salaries, because they must
always be in the peak of condition in order to perform at the highest levels.","Các vận động viên thể thao nên có mức lương cao vì họ phải thường
xuyên giữ thể trạng ở mức tốt nhất để có thể thi đấu ở mức cao nhất",phrase,IELTS
to take gentle exercise,,tập thể dục nhẹ nhàng,to do exercise which is not physically demanding or tiring,"Even the elderly can keep fit by taking gentle exercise, like jogging
or even a walk in the park.","Thậm chí những người già cũng có thể giữ gìn sức khỏe bằng việc tập
thể dục nhẹ nhàng, chẳng hạn như đi bộ nhanh hoặc đi dạo trong công viên.",phrase,IELTS
alternative forms of exercise,,cách tập thể dục khác,"taking exercise in less common ways, involving the mind as well as
the body","Alternative forms of exercise, such as yoga and tai chi, are popular
in my country among people of all ages.","Các phương pháp tập thể dục khác, chẳng hạn như yoga và taichi, khá
phổ biến đối với công dân ở mọi lứa tuổi tại đất nước tôi.",phrase,IELTS
to outlaw dangerous sports,,cấm các môn thể thao nguy hiểm,to ban or prohibit sports which have a high risk of causing injury,"I believe that the government should outlaw dangerous
sportsbecause participants may suffer serious injuries.","Tôi tin rằng chính phủ nên cấm các môn thể thao nguy hiểm vì người
tham gia có thể bị chấn thương nghiêm trọng",phrase,IELTS
on safety grounds,,vì lý do an toàn,for reasons of safety,"Boxing is a very dangerous sport and must be outlawed on safety
grounds.","Đấm bốc là một môn thể thao nguy hiểm và phải bị cấm vì lý do an
toàn.",phrase,IELTS
a high/low probability of injury,,khả năng chấn thương cao/thấp,you are very likely/not very likely to be injured,"If anyone plans to take up mountaineering or skydiving, they should
be aware that there is a high probability of injury.","Nếu một ai đó có ý định thử leo núi hoặc nhảy tự do từ máy bay, họ
nên ý thức rằng khả năng chấn thương sẽ cao.",phrase,IELTS
life-threatening injuries,,chấn thương chết người,injuries which are so serious that the person may die,"Paragliding and cliff-jumping are two examples of extreme sports in
which life-threatening injuries are sustained all too often by those who take
part.","Dù lượn và nhảy xuống vách núi là hai ví dụ của các môn thể thao mạo
hiểm mà những người chơi thường xuyên gặp phải những chấn thương chết
người.",phrase,IELTS
an extreme sport,,môn thể thao mạo hiểm,a sporting activity which is very dangerous,"Personally, I cannot understand why some people take up an
extreme sport, and they should consider all the risks first.","Cá nhân tôi không hiểu tại sao một vài người có thể tham gia chơi môn
thể thao mạo hiểm, họ nên nghĩ đến các rủi ro trước.",phrase,IELTS
essential sports gear,,thiết bị thể thao cần thiết,the equipment and clothing needed to practice a particular sport,"In order to reduce the risks associated with dangerous sports,
participants should undergo rigorous training and use all the essential sports
gear required.","Để giảm thiểu rủi ro của các môn thể thao nguy hiểm, người chơi cần
phải trải qua một khóa huấn luyện kỹ càng và sử dụng toàn bộ các thiết bị thể
thao cần thiết được yêu cầu.",phrase,IELTS
to take sensible precautions,,thực hiện các biện pháp phòng tránh phù hợp,"to do something in advance in order to prevent problems or to
avoid danger","Anyone engaging in an extreme sport must take sensible
precautions and seek expert advice.","Bất kỳ ai tham gia vào các môn thể thao mạo hiểm phải thực hiện các
biện pháp phòng tránh phù hợp và hỏi ý kiến chuyên gia.",phrase,IELTS
to foster a competitive spirit,,đẩy mạnh tinh thần cạnh tranh,encourage the desire to beat others in a sports event,"The problem with encouraging sport at school is that it fosters
acompetitive spirit among students, instead of teaching children simply to
do the best that they can in all aspects of life.","Vấn đề của việc khuyến khích thể thao ở trường học đó là do thể thao
đẩy mạnh tinh thần cạnh tranh giữa các học sinh thay vì dạy cho chúng hiểu
được rằng chỉ cần làm tốt nhất những gì chúng có thể trong mọi mặt của
cuộc sống.",phrase,IELTS
the Olympic ideal,,tinh thần Olympic,"the ultimate goal is not to win but to know that you have taken part
and done your best in a competition","Unfortunately, professional sport is just another branch of the
entertainment industry, and the Olympic ideal has been lost.","Thật đáng tiếc rằng thể thao chuyên nghiệp chỉ là một nhánh của
ngành công nghiệp giải trí, và tinh thần Olympic đã không còn nữa.",phrase,IELTS
a win-at-all-costs attitude,,Tinh thần phải thắng bằng mọi giá,"an idea that a match or competition must be won, using all possible
means","Youth sport is being ruined by a win-at-all-costs attitude, which
includes cheating and breaking the rules in order to achieve victory.","Thể thao trẻ đang bị hủy hoại bởi tinh thần thắng bằng mọi giá, bao
gồm cả việc gian lận và phá luật để có thể giành chiến thắng",phrase,IELTS
be disqualified from participating,,truất quyền thi đấu,not to be allowed to join a competition,"Sportsmen or sportswomen who take drugs should be disqualified
from participating in sport for a long time.","Các vận động viên nam nữ dùng chất kích thích phải bị truất quyền thi
đấu thể thao trong một thời gian dài.",phrase,IELTS
performance-enhancing drugs,,thuốc kích thích khả năng thi đấu,drugs which improve the ability of a sportsperson to compete,"Athletes who take performance-enhancing drugs are not only
cheating, but they also set a bad example for young people.","Vận động viên dùng thuốc kích thích khả năng thi đấu không chỉ gian
lần, mà còn là một tấm gương xấu cho những người trẻ tuổi.",phrase,IELTS
to fail a drugs test,,không qua bài thử chất kích thích,"to fail an examination before or after a competition to make sure
that you have not taken illegal drugs to improve your performance","Cycling is a sport which has been discredited in recent years, as so
many competitors have failed drugs tests.","Đạp xe là một môn thể thao tai tiếng trong những năm gần đây do rất
nhiều người cạnh tranh đã không qua được bài thử chất kích thích.",phrase,IELTS
to use illegal substances,,dùng các chất phạm pháp,"to use drugs or medicines which are not allowed under the rules of
a competition","In professional sport, it has become increasingly common to use
illegal substances in order to win at all costs.","Trong thể thao chuyên nghiệp, việc sử dụng các chất phạm pháp đã trở
nên phổ biến hơn để người chơi có thể chiến thắng bằng mọi giá",phrase,IELTS
to place too much value on sport,,đề cao tầm quan trọng của thể thao,to regard sport as too important,"I would argue that schools place too much value on sport in the
curriculum, and participation in sport should be an out-of-school activity.","Tôi cho rằng các trường học đã đề cao quá tầm quan trọng của thể
thao trong lịch học của mình, việc tham gia chơi thể thao chỉ nên là một hoạt
động ngoại khóa.",phrase,IELTS
a sports fan,,người yêu thích thể thao,a person who takes a keen interest in sport,"While I think that it is healthy to be a sports fan, people should
remember that for most people, sport is just entertainment, not a matter of
life and death.","Trong khi tôi cho rằng là một người yêu thể thao là một điều tốt, mọi
người nên nhớ rằng đối với rất nhiều người, thể thao chỉ là một công cụ giải
trí, không phải vấn đề sống chết.",phrase,IELTS
to set a record,,lập kỷ lục,to achieve the best result ever achieved in a sport,"Real Madrid haveset a record for the number of goals scored in a
match.",Real Madrid đã lập kỷ lục về số bàn thắng ghi được trong một trận đấu.,phrase,IELTS
sports coverage,,tin thể thao,the activity of reporting news related to sport,"Many top sports stars are now known to millions of people around
the world because of global sports coverage by the media.","Hiện nay, rất nhiều ngôi sao thể thao hàng đầu đã được hàng triệu
người trên thế giới biết đến bởi các tin thể thao toàn cầu đăng trên truyền
thông.",phrase,IELTS
sports commentators,,bình luận viên thể thao,"people who are experts on sport and talk or write about it in the
media","Not only sports stars, but even some sports commentators have
become well-known celebrities.","Không chỉ các ngôi sao thể thao, thậm chí các bình luận viên thể thao
cũng trở thành các nhân vật danh tiếng.",phrase,IELTS
sports merchandising,,kinh doanh đồ thể thao,"the activity of selling products connected with a sport or
sportsperson","Sports merchandising is a multi-billion dollar business worldwide,
in the form of t-shirts and sports equipment.","Kinh doanh đồ thể thao là một ngành kinh doanh tỷ đô trên toàn thế
giới, với các mặt hàng là áo phông và dụng cụ thể thao.",phrase,IELTS
the endorsement of sporting goods,,đại diện thương hiệu đồ thể thao,"an advertising statement, usually by a famous sportsperson, saying
that they use or like a particular product.","In addition to their fabulous salaries, sports celebrities also make a
great deal of money through their endorsement of sporting goods such as
trainers or even casual clothes or deodorants !","Bên cạnh mức lương hấp dẫn, các ngôi sao thể thao nổi tiếng còn kiếm
được rất nhiều tiền từ việc làm đại diện cho các sản phẩm thể thao chẳng hạn
như máy tập hoặc quần áo tập hoặc sản phẩm khử mùi!",phrase,IELTS
to be computer-literate,,sử dụng tốt máy tính,able to use computers well,"In today's competitive job market, it is essential to be computer-
literate.","Trong thị trường lao động đầy cạnh tranh hiện nay, sử dụng thành
thạo máy tính là rất cần thiết.",phrase,IELTS
to computerize something,,máy tính hóa/ đưa máy tính vào làm việc,to provide a computer or computers to do the work,"The factory has been fully computerized, enabling it to produce
more efficiently.","Nhà máy đó đã được máy tính hóa hoàn toàn, cho phép việc sản
xuất hiệu quả hơn.",phrase,IELTS
advances in technology,,tiến bộ công nghệ,the improvement or development in technology,"Recent advances in medical technology are making a great
contribution to the search for a cure for Aids.",,phrase,IELTS
to download podcasts,,tải các ứng dụng âm thanh,to save a copy of a file from the internet to your own device,"Computer technology is extremely useful for learning a new
language. I often download podcasts to improve my listening skills.","Công nghệ máy tính thực sự hữu ích cho việc học ngoại ngữ. Tôi
thường tải các ứng dụng âm thanh để tăng khả năng nghe.",phrase,IELTS
video conferencing,,hội thoại thấy hình,"to see and discuss with people in different locations using the
Internet.","In the worlds of business and education, video conferencing has
enabled people to exchange ideas without travelling across the world.","Trong thế giới kinh doanh và giáo dục, hội thoại thấy hình cho phép
người ta trao đổi ý kiến mà không cần phải đi khắp nơi trên thế giới.",phrase,IELTS
the college intranet,,mạng nội bộ trong trường cao đẳng,"a network of computers within a college that can only be
accessed by the staff and students to set and mark work, enter into contact
etc.","Distance learning in education has been made possible by
innovations such as the college intranet system.",,phrase,IELTS
silver surfer,,người già dùng mạng,an old person who spends a lot of time using the Internet,"Although young people are often more computer-literate than
the older generation, nevertheless there are many silver surfers who use
the internet all the time.","Dù người trẻ thường sử dụng máy tính thành thạo hơn thế hệ lớn
tuổi, tuy nhiên có rất nhiều người già dùng mạng thường xuyên.",phrase,IELTS
a technological breakthrough,,một đột phá về công nghệ,an important new discovery in technology,"The development of the micro-chip was atechnological
breakthrough which transformed the way in which people communicate.","Sự phát triển của micro-chip là một đột phá trong công nghệ, đã
thay đổi cách mọi người giao tiếp.",phrase,IELTS
discourage real interaction,,cản trở sự tương tác trực tiếp,to result in less face-to-face communication with other people,"the availability of new communication technologies may also
have the result of isolating people and discouraging real interaction.","Sự sẵn có của những công nghệ giao tiếp mới có thể sẽ cô lập con
người và cản trở sự tương tác trực tiếp.",phrase,IELTS
leading-edge technology,,công nghệ hàng đầu/ tiên tiến nhất,the most advanced position in technology,"Manufacturers of electronic devices always advertise their
products as having the latest leading-edge/cutting-edge technology.","Những nhà sản xuất thiết bị điện tử luôn quảng cáo sản phẩm của
họ sử dụng công nghệ hàng đầu, tiên tiến nhất hiện nay.",phrase,IELTS
to become obsolete,,trở nên lỗi thời,to be no longer used because something new has been invented,"Technological innovation is now so rapid, that even the latest
electronic devices soon become obsolete.","Đổi mới công nghệ diễn ra nhanh chóng khiến cho thiết bị điện tử
mới nhất cũng nhanh chóng trở nên lỗi thời.",phrase,IELTS
the digital revolution,,cách mạng số,"the advancement of technology to the digital technology
available today","The digital revolution has fundamentally changed the way that
people work, communicate, behave and even think.","Cách mạng số đã thay đổi một cách cơ bản cách con người làm vệc,
giao tiếp, ứng xử và cả trong suy nghĩ.",phrase,IELTS
labour-saving appliances,,thiết bị tiết kiệm sức lao động,"machines that reduce the amount of work or effort needed to
do something.","The technological revolution in the home started with the
introduction of labour-saving appliances such as washing machines and
dishwashers.","Cách mạng công nghệ tại gia bắt đầu từ việc ra mắt những thiết bị
tiết kiệm sức lao động như máy giặt, máy rửa bát..,",phrase,IELTS
to apply something to something,,ứng dụng cái gì vào đâu,"to use something or make something work in a particular
situation","The new technology applied to farming has led to a huge
reduction in the agricultural workforce.","Công nghệ mới được ứng dụng trong nông nghiệp đã giúp giảm
một lượng lớn khối lượng công việc.",phrase,IELTS
to gain access to the internet/to access the internet,,kết nối mạng,to have the opportunity to use the internet,"Millions of people are able to access the internet in cafes,
libraries or other public places.","Hàng triệu người có thể kết nối mạng tại quán café, thư viện và
những nơi công cộng khác.",phrase,IELTS
wireless technology,,công nghệ không dây,"using radiowaves to transmit information, rather than wires
Examples: Wireless technology has enabled places such as hotels, airports
and coffee shops to offer wi-fi connection to customers wishing to access
the internet.",,"Công nghệ không dây đã cho phép những nơi như khách sạn, sân
bay hay quán café cung cấp kết nối wifi cho khách hàng muốn truy cập
mạng.",phrase,IELTS
e-commerce,,thương mại điện tử,buying and selling products or services using the internet,"Businesses which rely on e-commerce make huge savings on
offices, retail outlets and rents paid to landlords who own high-street
properties.","Những ngành nghề kinh doanh dựa trên thương mại điện tử có thể
tiết kiệm 1 khoản lớn tiền văn phòng, thuê đại lý và khoản trả hàng tháng
cho những chủ cho thuê có mặt tiền tại các con phố lớn.",phrase,IELTS
online shopping,,mua sắm trực tiếp,shopping while connected to the internet,"For people who are physically disabled, or even for people who
are simply very busy, online shopping is convenient and may also be
cheaper.","Mua sắm trực tuyến thuận tiện và có thể rẻ hơn cho những người
khuyết tật và cả những người bận rộn.",phrase,IELTS
to go viral,,lan truyền,to become very popular on the internet,"One reason why people sometimes talk about ‘the global village'
is that an image or news on the internet sometimes goes viral and is seen
by millions of people worldwide.","Một lí do khiến mọi người nói về “làng thế giới” là vì đôi khi một
hình hảnh hay tin tức trên mạng lan truyền nhanh chóng và được xem bởi
hàng triệu người khắp thế giới.",phrase,IELTS
computer hackers,,những kẻ tấn công máy tính,"people who find a way of looking at or changing information
secretly on somebody's computer system","One disadvantage of computers is that computer hackers may
be able to discover your personal details, such as bank account
information.","Một bất lợi của máy tính là những kẻ tấ ncông có thể khám phá
thông tin cá nhân của bạn, ví dụ như tài khoản ngân hàng.",phrase,IELTS
online scams,,các âm mưu trên mạng internet/ thủ đoạn trực tuyến,"clever and dishonest plans using the internet in order to make
money.","Many internet users have been victims of online scams, paying
money for goods or services that do not exist or are worthless.","Nhiều người sử dụng mạng internet là nạn nhân của những thủ
đoạn trực tuyến, trả tiền cho hàng hóa và dịch vụ không có thật hoặc
không đáng giá.",phrase,IELTS
to microwave something,,đun nấu bằng lò vi sóng,to cook or heat food very quickly in a microwave oven,"The food industry was quick to adapt to the demands of
customers who wanted to microwave ready meals after coming home
from work.","Công nghiệp thực phẩm nhanh chóng đuổi kịp nhu cầu của khách
hàng, những người muốn đun nóng các bữa ăn có sẵn bằng lò vi sóng sau
khi đi làm về.",phrase,IELTS
a smart card,,thẻ thông minh,"a small plastic card used to make payments and to store
information, which can be read when connected to a computer system.","People rarely need to visit a bank these days, and it is easy and
convenient to make purchases using your smart card.","Ngày nay ít khi mọi người cần tới ngân hàng vì hiện nay mua hàng
sử dụng thẻ thông minh rất dễ dàng và thuận tiện.",phrase,IELTS
supermarket checkouts,,quầy thu ngân tại siêu thị,the place where you go to pay for the things that you have bought,"Personal service in shops has been replaced by the impersonal
experience of superstore shopping and queues at supermarket
checkouts.","Dịch vụ cá nhân tại các cửa hàng đã được thay thế bằng những trải
nghiệm tại các cửa hàng mua sắm lớn và xếp hàng tại quầy thu ngân của
siêu thị.",phrase,IELTS
driverless vehicles,,phương tiện không người lái,"cars, buses and other vehicles that have the technology to drive
themselves, without a person in control","The first driverless vehicles have already been invented and will
soon be seen on the roads.","Những phương tiện không người lái đầu tiên đã được phát minh và
sẽ sớm được lưu thông trên đường.",phrase,IELTS
text-messaging,,gửi tin nhắn văn bản,the act of sending written messages using a mobile/cell phone,"The ability to write using accurate grammar is declining, partly as
a result of text-messaging instead of writing letters.","Khả năng viết đúng ngữ pháp đang bị suy giảm, một phần do viết
tin nhắn văn bản thay vì viết thư tay.",phrase,IELTS
robotics technology,,công nghệ rô bốt,"the design, construction and operation of robots","There are examples of robotics technology everywhere, from
space programs to manufacturing.","Có những ví dụ về công nghệ rô bốt ở mọi nơi, từ các chương trình
vũ trụ tới việc sản xuất thông thường.
28.to be in its infancy
Meaning: to be in the early development of something
Example: It is clear that robotics technology is still in its infancy, and it is
impossible to imagine the possible future developments.
Dịch đại ý
To be in its infancy: thời kì thai nén
Nghĩa: ở giai đoạn phát triển rất sớm của cái gì đó
Ví dụ: Rõ ràng là công nghệ rô bốt vẫn đang trong thời kì thai nén, và
không thể tưởgn tượng những phát triển trong tương lai ra sao.",phrase,IELTS
to be superseded by,,bị thế chỗ bởi,to be replaced by something which is better,"The latest technological innovations are usually soon
superseded by new and more advanced devices.","Những đổi mới công nghệ mới nhất thường nhanh chóng bị thay
thế bởi những thiết bị mới và tiến bộ hơn.",phrase,IELTS
to become over-reliant on,,quá phụ thuộc vào,"to need something so that your survival or success depends too
much on it","Businesses have become over-reliant on complicated computer
systems, so that if these systems fail the results will be disastrous.","Các nhà kinh doanh đã quá phụ thuộc vào hệ thông máy tính phức
tạp, nên nếu hệ thống này thất bại, kết quả sẽ rất tồi tệ.",phrase,IELTS
to discharge chemical waste,,xả chất thải hóa học,to dispose of waste products from chemical processes.,"Nowadays, more and more company and industrial zones have
been discharging chemical waste into rivers, causing death to many fish
and other aquatic animals.","Ngày càng nhiều công ty và khu công nghiệp đang xả các chất thải
hóa học ra sông ngòi, gây chết cá và những loài thủy sản khác.",phrase,IELTS
environmental degradation,,suy thoái môi trường,the process or fact of the environment becoming worse,"Africa is a continent in which environmental degradation is
evident in the spread of deserts and the extinction of animal species.","Châu Phi là một lục địa mà việc suy thoái môi trường được thể hiện
rõ ở sự sa mạc hóa và tuyệt chủng ở một số loài động vật.",phrase,IELTS
to take action on global warming,,"hành động ngăn chặn hiện tượng nóng
lên toàn cầu","to do what has to be done on problems related to global
warming","There have been numerous international conferences to warn of
the dangers, but many governments have refused to take action on
global warming.","Có rất nhiều hội thảo quốc tế được tổ chức nhằm cảnh báo về tác
hại của hiện tượng nóng lên toàn cầu, nhưng nhiều chính phủ vẫn từ chối
có hành động ngăn chặn.",phrase,IELTS
to be bio-degradable,,phân hủy sinh học,"a substance or chemical that can be changed to a natural
harmless state by the action of bacteria","Most plastics are not biodegradable, and remain as waste
products in the environment for thousands of years.","Đa số nhựa không phân hủy sinh học, và duy trì trạng thái là rác thải
trong môi trường hàng nghìn năm.",phrase,IELTS
